-0.1289332,-0.1469125,-0.06833319,0.9783268
0.3443135,-0.3517715,-0.3539516,0.7952505
0.2606424,-0.3721183,-0.3305685,0.827235
0.2160369,-0.3805042,-0.3148975,0.8422495
0.1703057,-0.3828185,-0.2975201,0.8578624
0.1433626,-0.3811762,-0.2864669,0.8672304
0.1124374,-0.3762436,-0.2728645,0.8782616
0.09146948,-0.3712457,-0.2629544,0.8858132
0.07099123,-0.3646294,-0.2526643,0.8934016
0.05328971,-0.3576083,-0.2431994,0.9000725
0.04768643,-0.3551005,-0.2400811,0.9022143
0.04379198,-0.3532793,-0.2378754,0.9037098
0.03487894,-0.3488519,-0.232707,0.9071566
0.03947701,-0.3511983,-0.2353958,0.9053673
0.05937829,-0.3600555,-0.2465165,0.8978106
0.09132122,-0.3711795,-0.2628827,0.8858774
0.1177073,-0.3773937,-0.2752556,0.8763295
0.1421809,-0.3810247,-0.2859694,0.8676555
0.1712741,-0.3828261,-0.2979057,0.8575322
0.1978733,-0.3821716,-0.3081816,0.8484192
0.2105654,-0.3811105,-0.3128973,0.8441045
0.2141919,-0.3807104,-0.3142269,0.8428777
0.2255334,-0.3792209,-0.3183264,0.8390437
0.2328357,-0.3780554,-0.320926,0.8365813
0.2390166,-0.3769412,-0.3231037,0.8345001
0.2567727,-0.3730628,-0.3292562,0.8285423
0.2855532,-0.3648339,-0.3388898,0.8188463
0.3121589,-0.3547928,-0.347558,0.8098657
0.3488504,-0.3370627,-0.3592099,0.7972831
0.3500921,-0.3363733,-0.3596026,0.7968528
0.3192394,-0.3519005,-0.3497691,0.8074119
0.239057,-0.376904,-0.3231311,0.8344947
0.1284744,-0.3792404,-0.2800514,0.872492
0.07978974,-0.3677663,-0.257165,0.890083
0.09091732,-0.3709398,-0.2626901,0.8860766
0.1199959,-0.3778161,-0.276287,0.8755121
0.1231869,-0.3783823,-0.2777138,0.8743723
0.120336,-0.3778826,-0.2764391,0.8753887
0.1036779,-0.3743716,-0.2687941,0.8813889
0.07905781,-0.3674134,-0.2567977,0.8904001
